example_id,machine_id,machine_type,plant_area,shift,temperature_c,vibration_mm_s,pressure_bar,rpm,noise_db,oil_quality_pct,hours_since_service,error_code,technician_note,sensor_summary,machine_report,system_prompt,user_prompt,assistant_response,recommended_action,severity
ollama-ex-03973,PKG-3973,packaging line,paint shop,afternoon,74.9,5.5,6.4,1516,94.7,29.2,413,BEARING-201,vibration increases at steady rpm even when load is unchanged,friction pattern near bearings,"Machine PKG-3973 is a packaging line in the paint shop area on the afternoon shift. Sensors report temperature 74.9 C, vibration 5.5 mm/s, pressure 6.4 bar, rpm 1516, noise 94.7 dB, oil quality 29.2 percent, and 413 hours since service. Error code: BEARING-201. Operator note: vibration increases at steady rpm even when load is unchanged. Summary: friction pattern near bearings.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PKG-3973
Machine type: packaging line
Plant area: paint shop
Shift: afternoon
Temperature C: 74.9
Vibration mm/s: 5.5
Pressure bar: 6.4
RPM: 1516
Noise dB: 94.7
Oil quality percent: 29.2
Hours since service: 413
Error code: BEARING-201
Technician note: vibration increases at steady rpm even when load is unchanged
Sensor summary: friction pattern near bearings","{""confidence"": 0.93, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Service the bearing lubrication point and check whether the bearing needs replacement."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The readings match a dry or under-lubricated bearing signature."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-02198,PMP-2198,industrial pump,line 2,afternoon,85.9,5.3,8.0,1657,86.8,43.3,162,LOAD-330,elevated temperature appears during long continuous batches,high load condition,"Machine PMP-2198 is an industrial pump in the line 2 area on the afternoon shift. Sensors report temperature 85.9 C, vibration 5.3 mm/s, pressure 8.0 bar, rpm 1657, noise 86.8 dB, oil quality 43.3 percent, and 162 hours since service. Error code: LOAD-330. Operator note: elevated temperature appears during long continuous batches. Summary: high load condition.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PMP-2198
Machine type: industrial pump
Plant area: line 2
Shift: afternoon
Temperature C: 85.9
Vibration mm/s: 5.3
Pressure bar: 8.0
RPM: 1657
Noise dB: 86.8
Oil quality percent: 43.3
Hours since service: 162
Error code: LOAD-330
Technician note: elevated temperature appears during long continuous batches
Sensor summary: high load condition","{""confidence"": 0.83, ""immediate_steps"": [""Reduce feed rate or duty cycle immediately."", ""Monitor temperature for the next 15 minutes."", ""Notify the shift lead if temperature does not trend down.""], ""maintenance_plan"": ""Inspect the cooling path and drive system after the machine stabilizes at a lower load."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
ollama-ex-02023,MIX-2023,mixing vessel,fabrication,morning,90.6,4.8,7.0,1541,85.9,44.5,312,WARN-390,elevated temperature appears during long continuous batches,stress pattern during peak operation,"Machine MIX-2023 is a mixing vessel in the fabrication area on the morning shift. Sensors report temperature 90.6 C, vibration 4.8 mm/s, pressure 7.0 bar, rpm 1541, noise 85.9 dB, oil quality 44.5 percent, and 312 hours since service. Error code: WARN-390. Operator note: elevated temperature appears during long continuous batches. Summary: stress pattern during peak operation.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MIX-2023
Machine type: mixing vessel
Plant area: fabrication
Shift: morning
Temperature C: 90.6
Vibration mm/s: 4.8
Pressure bar: 7.0
RPM: 1541
Noise dB: 85.9
Oil quality percent: 44.5
Hours since service: 312
Error code: WARN-390
Technician note: elevated temperature appears during long continuous batches
Sensor summary: stress pattern during peak operation","{""confidence"": 0.86, ""immediate_steps"": [""Lower machine load by 20 percent."", ""Check cooling airflow and drive current."", ""Pause continuous batches if the warning repeats.""], ""maintenance_plan"": ""Inspect the cooling path and drive system after the machine stabilizes at a lower load."", ""recommended_action"": ""reduce_load"", ""root_cause_hypothesis"": ""The fault pattern suggests excessive throughput rather than a single failed component."", ""safety_note"": ""Stop the machine if temperature or vibration crosses the critical shutdown threshold."", ""severity"": ""high""}",reduce_load,high
ollama-ex-03424,CMP-3424,compressor,assembly,morning,87.5,5.7,5.6,1355,92.5,33.6,581,VIB-610,vibration increases at steady rpm even when load is unchanged,bearing lubrication needed,"Machine CMP-3424 is a compressor in the assembly area on the morning shift. Sensors report temperature 87.5 C, vibration 5.7 mm/s, pressure 5.6 bar, rpm 1355, noise 92.5 dB, oil quality 33.6 percent, and 581 hours since service. Error code: VIB-610. Operator note: vibration increases at steady rpm even when load is unchanged. Summary: bearing lubrication needed.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CMP-3424
Machine type: compressor
Plant area: assembly
Shift: morning
Temperature C: 87.5
Vibration mm/s: 5.7
Pressure bar: 5.6
RPM: 1355
Noise dB: 92.5
Oil quality percent: 33.6
Hours since service: 581
Error code: VIB-610
Technician note: vibration increases at steady rpm even when load is unchanged
Sensor summary: bearing lubrication needed","{""confidence"": 0.88, ""immediate_steps"": [""Alert maintenance before the next long batch."", ""Avoid high-speed operation until lubrication is checked."", ""Listen for repeated squeal during startup and shutdown.""], ""maintenance_plan"": ""Lubricate the bearings, inspect for wear, and trend vibration after restart."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""The high vibration and low oil quality suggest bearing lubrication breakdown."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-00872,MIX-0872,mixing vessel,paint shop,morning,67.7,3.3,7.3,1233,76.8,55.7,205,DRIFT-305,maintenance team requested a planned look during the next service window,non-critical drift,"Machine MIX-0872 is a mixing vessel in the paint shop area on the morning shift. Sensors report temperature 67.7 C, vibration 3.3 mm/s, pressure 7.3 bar, rpm 1233, noise 76.8 dB, oil quality 55.7 percent, and 205 hours since service. Error code: DRIFT-305. Operator note: maintenance team requested a planned look during the next service window. Summary: non-critical drift.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MIX-0872
Machine type: mixing vessel
Plant area: paint shop
Shift: morning
Temperature C: 67.7
Vibration mm/s: 3.3
Pressure bar: 7.3
RPM: 1233
Noise dB: 76.8
Oil quality percent: 55.7
Hours since service: 205
Error code: DRIFT-305
Technician note: maintenance team requested a planned look during the next service window
Sensor summary: non-critical drift","{""confidence"": 0.81, ""immediate_steps"": [""Keep the machine under observation."", ""Add the asset to the next maintenance window."", ""Compare current telemetry with the last three shift logs.""], ""maintenance_plan"": ""Plan a maintenance review within 24-48 hours and verify whether the drift is mechanical or sensor-related."", ""recommended_action"": ""schedule_inspection"", ""root_cause_hypothesis"": ""The warning pattern suggests degradation that should be checked before it becomes urgent."", ""safety_note"": ""If vibration or temperature rises sharply, stop the machine and reassess the risk."", ""severity"": ""medium""}",schedule_inspection,medium
ollama-ex-03185,CNC-3185,CNC mill,paint shop,morning,76.9,2.1,3.3,1152,66.0,54.1,363,PRESS-190,operator reports reduced flow after the last material changeover,clogged filter pattern,"Machine CNC-3185 is a CNC mill in the paint shop area on the morning shift. Sensors report temperature 76.9 C, vibration 2.1 mm/s, pressure 3.3 bar, rpm 1152, noise 66.0 dB, oil quality 54.1 percent, and 363 hours since service. Error code: PRESS-190. Operator note: operator reports reduced flow after the last material changeover. Summary: clogged filter pattern.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-3185
Machine type: CNC mill
Plant area: paint shop
Shift: morning
Temperature C: 76.9
Vibration mm/s: 2.1
Pressure bar: 3.3
RPM: 1152
Noise dB: 66.0
Oil quality percent: 54.1
Hours since service: 363
Error code: PRESS-190
Technician note: operator reports reduced flow after the last material changeover
Sensor summary: clogged filter pattern","{""confidence"": 0.89, ""immediate_steps"": [""Reduce throughput if product quality starts drifting."", ""Inspect the filter indicator and intake housing."", ""Prepare a replacement filter before the next batch.""], ""maintenance_plan"": ""Change the intake filter and review whether the service interval should be shortened for this material."", ""recommended_action"": ""replace_filter"", ""root_cause_hypothesis"": ""The pressure drop is more consistent with filter restriction than a drive fault."", ""safety_note"": ""Do not bypass the filter interlock to keep production running."", ""severity"": ""medium""}",replace_filter,medium
ollama-ex-04043,MLD-4043,injection molder,assembly,night,123.5,9.6,13.5,2179,99.1,7.1,841,CRIT-900,machine is unsafe to continue until maintenance clears the fault,severe multi-sensor alarm,"Machine MLD-4043 is an injection molder in the assembly area on the night shift. Sensors report temperature 123.5 C, vibration 9.6 mm/s, pressure 13.5 bar, rpm 2179, noise 99.1 dB, oil quality 7.1 percent, and 841 hours since service. Error code: CRIT-900. Operator note: machine is unsafe to continue until maintenance clears the fault. Summary: severe multi-sensor alarm.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: MLD-4043
Machine type: injection molder
Plant area: assembly
Shift: night
Temperature C: 123.5
Vibration mm/s: 9.6
Pressure bar: 13.5
RPM: 2179
Noise dB: 99.1
Oil quality percent: 7.1
Hours since service: 841
Error code: CRIT-900
Technician note: machine is unsafe to continue until maintenance clears the fault
Sensor summary: severe multi-sensor alarm","{""confidence"": 0.96, ""immediate_steps"": [""Initiate emergency shutdown."", ""Do not restart the machine."", ""Preserve the alarm state for maintenance investigation.""], ""maintenance_plan"": ""Perform a full maintenance inspection and root-cause review before any restart is authorized."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The combination of overheat, severe vibration, and alarm code indicates an unsafe condition."", ""safety_note"": ""Restart requires formal maintenance clearance and standard lockout/tagout controls."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-03650,WLD-3650,robotic welder,utilities,afternoon,70.5,7.9,6.8,1547,86.5,23.8,411,BEARING-201,operator reports a dry squeal during startup and shutdown,friction pattern near bearings,"Machine WLD-3650 is a robotic welder in the utilities area on the afternoon shift. Sensors report temperature 70.5 C, vibration 7.9 mm/s, pressure 6.8 bar, rpm 1547, noise 86.5 dB, oil quality 23.8 percent, and 411 hours since service. Error code: BEARING-201. Operator note: operator reports a dry squeal during startup and shutdown. Summary: friction pattern near bearings.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: WLD-3650
Machine type: robotic welder
Plant area: utilities
Shift: afternoon
Temperature C: 70.5
Vibration mm/s: 7.9
Pressure bar: 6.8
RPM: 1547
Noise dB: 86.5
Oil quality percent: 23.8
Hours since service: 411
Error code: BEARING-201
Technician note: operator reports a dry squeal during startup and shutdown
Sensor summary: friction pattern near bearings","{""confidence"": 0.96, ""immediate_steps"": [""Reduce speed if vibration continues rising."", ""Inspect bearing temperature with the approved procedure."", ""Prepare the correct lubricant for a controlled service stop.""], ""maintenance_plan"": ""Service the bearing lubrication point and check whether the bearing needs replacement."", ""recommended_action"": ""lubricate_bearings"", ""root_cause_hypothesis"": ""Bearing friction is likely increasing temperature, noise, and vibration."", ""safety_note"": ""Follow lockout/tagout before servicing the bearing area."", ""severity"": ""high""}",lubricate_bearings,high
ollama-ex-04518,CNC-4518,CNC mill,assembly,night,120.8,9.6,10.4,2164,106.8,22.1,840,OVERHEAT-999,control panel shows a red alarm and production quality has failed,immediate stop required,"Machine CNC-4518 is a CNC mill in the assembly area on the night shift. Sensors report temperature 120.8 C, vibration 9.6 mm/s, pressure 10.4 bar, rpm 2164, noise 106.8 dB, oil quality 22.1 percent, and 840 hours since service. Error code: OVERHEAT-999. Operator note: control panel shows a red alarm and production quality has failed. Summary: immediate stop required.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: CNC-4518
Machine type: CNC mill
Plant area: assembly
Shift: night
Temperature C: 120.8
Vibration mm/s: 9.6
Pressure bar: 10.4
RPM: 2164
Noise dB: 106.8
Oil quality percent: 22.1
Hours since service: 840
Error code: OVERHEAT-999
Technician note: control panel shows a red alarm and production quality has failed
Sensor summary: immediate stop required","{""confidence"": 0.91, ""immediate_steps"": [""Stop the machine immediately using the approved shutdown procedure."", ""Keep personnel clear of the asset."", ""Escalate to maintenance and safety leadership.""], ""maintenance_plan"": ""Perform a full maintenance inspection and root-cause review before any restart is authorized."", ""recommended_action"": ""emergency_shutdown"", ""root_cause_hypothesis"": ""The telemetry shows a high-risk failure mode that requires immediate shutdown."", ""safety_note"": ""Do not attempt to continue production under a critical alarm."", ""severity"": ""critical""}",emergency_shutdown,critical
ollama-ex-00183,PRS-0183,hydraulic press,quality lab,night,55.5,2.0,5.6,1211,68.1,93.3,119,INFO-100,routine production is continuing with no abnormal sound reported,normal production behavior,"Machine PRS-0183 is a hydraulic press in the quality lab area on the night shift. Sensors report temperature 55.5 C, vibration 2.0 mm/s, pressure 5.6 bar, rpm 1211, noise 68.1 dB, oil quality 93.3 percent, and 119 hours since service. Error code: INFO-100. Operator note: routine production is continuing with no abnormal sound reported. Summary: normal production behavior.","You are PlantOps-MaintenanceAI, a cautious maintenance assistant for industrial machines. Return strict JSON only. The JSON must contain recommended_action, severity, confidence, root_cause_hypothesis, immediate_steps, maintenance_plan, and safety_note.","Analyze this machine telemetry report and return the maintenance decision as strict JSON.

Machine: PRS-0183
Machine type: hydraulic press
Plant area: quality lab
Shift: night
Temperature C: 55.5
Vibration mm/s: 2.0
Pressure bar: 5.6
RPM: 1211
Noise dB: 68.1
Oil quality percent: 93.3
Hours since service: 119
Error code: INFO-100
Technician note: routine production is continuing with no abnormal sound reported
Sensor summary: normal production behavior","{""confidence"": 0.86, ""immediate_steps"": [""Continue normal production."", ""Record the reading in the shift log."", ""Recheck the machine during the next routine walk-around.""], ""maintenance_plan"": ""No extra maintenance is required; keep the normal preventive maintenance schedule."", ""recommended_action"": ""normal_operation"", ""root_cause_hypothesis"": ""The readings match normal operating baselines for this machine type."", ""safety_note"": ""No immediate safety restriction is indicated by the telemetry."", ""severity"": ""low""}",normal_operation,low
